voltage,timestamp,cb_settings,cb_pusm,ngood,maxgood,mingood,maxgood_index,mingood_index,third,third_index,used,used_index,used_phases,time,TID
float64,object,object,object,int64,int64,int64,int64,int64,int64,int64,int64,int64,object,datetime64[ns],float64
1.32,30Sep_094909,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['2' '8' '2' '2' '10' '3' '2' '3' '2' '3' '2' '2'],2022-09-30 11:24:12,27.169499999999996
1.08,30Sep_094909,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[7 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,61,15,29,15,28,20,27,19,['2' '8' '2' '2' '10' '3' '2' '3' '2' '3' '2' '2'],2022-09-30 11:27:09,27.604625
1.2,30Sep_094909,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,60,13,28,13,26,18,26,18,['2' '8' '2' '2' '10' '3' '2' '3' '2' '3' '2' '2'],2022-09-30 11:41:10,29.672083333333333
1.32,30Sep_100608,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['4' '11' '5' '4' '12' '5' '5' '5' '12' '5' '5' '5'],2022-09-30 11:56:14,31.894416666666665
1.08,30Sep_100608,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,61,15,29,15,28,20,28,20,['4' '11' '5' '4' '12' '5' '5' '5' '12' '5' '5' '5'],2022-09-30 11:59:10,32.327083333333334
1.2,30Sep_100608,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,60,13,28,13,26,18,26,18,['4' '11' '5' '4' '12' '5' '5' '5' '12' '5' '5' '5'],2022-09-30 12:13:02,34.372416666666666
1.32,30Sep_102036,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['2' '9' '2' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 12:28:24,36.638999999999996
1.08,30Sep_102036,[15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15,61,15,29,15,28,20,28,20,['2' '9' '2' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 12:31:20,37.071666666666665
1.2,30Sep_102036,[13 14 15 24 25 26 27 28 29 30 31 56 57 58 59 60 61],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],17,61,13,29,13,26,18,26,18,['2' '9' '2' '2' '2' '11' '2' '3' '2' '3' '2' '2'],2022-09-30 12:45:12,39.117
1.32,30Sep_103734,[12 13 14 15 24 25 26 27 28 29 30 31 56 57 58 59],[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],16,59,12,27,12,25,17,0,0,['4' '11' '5' '4' '4' '5' '5' '6' '12' '5' '5' '5'],2022-09-30 13:00:45,41.410624999999996
